id_gravacao,especie_cientifico,tipo_canto,qualidade,latitude,longitude,autor,fundo
XC348840,Piculus aurulentus,drumming,B,-22.699,,GABRIEL LEITE,
XC325741,Piculus aurulentus,call,B,-24.1086,,Fernando Igor de Godoy,
XC319491,Piculus aurulentus,song,B,-23.3248,,Jeremy Minns,"Patagioenas plumbea, Poecilotriccus plumbeiceps, Turdus flavipes"
XC249258,Piculus aurulentus,song,B,-22.3459,,Eric DeFonso,
XC208297,Piculus aurulentus,"call, song",B,-22.8548,,Rodrigo Dela Rosa,
XC194290,Piculus aurulentus,call,B,-27.2339,,Roberto Buss Stringari,
XC146396,Piculus aurulentus,call,B,-22.8897,,Antonio Silveira,
XC85320,Piculus aurulentus,song,B,-23.3248,,Jeremy Minns,"Carpornis cucullata, Chiroxiphia caudata, Procnias nudicollis, Tachyphonus coronatus, Patagioenas plumbea, Cyclarhis gujanensis, Chamaeza meruloides"
XC70766,Piculus aurulentus,call,B,-20.5014,,Daniel Lane,
XC744939,Piculus aurulentus,subsong,C,-22.9242,,João Vitor Oliveira de Souza,
XC325743,Piculus aurulentus,song,C,-24.1086,,Fernando Igor de Godoy,
XC325742,Piculus aurulentus,"alarm call, drumming",C,-24.1086,,Fernando Igor de Godoy,
XC299008,Piculus aurulentus,song,C,-24.2783,,Fernando Igor de Godoy,
XC277359,Piculus aurulentus,call,C,-22.394,,Jerome Fischer,
XC1103118,Dryocopus lineatus,song,A,-20.3244,,Fabrício Grigolin,
XC724915,Dryocopus lineatus,"call, song",A,-27.9514,,JAYRSON ARAUJO DE OLIVEIRA,Turdus rufiventris
XC724914,Dryocopus lineatus,"call, song",A,-27.9514,,JAYRSON ARAUJO DE OLIVEIRA,"Sicalis flaveola, Zonotrichia capensis"
XC585445,Dryocopus lineatus,call,A,-23.2107,,Dante Buzzetti,
XC440193,Dryocopus lineatus,call,A,-26.3182,,Guilherme Willrich,
XC420966,Dryocopus lineatus,call,A,-24.2783,,Fernando Igor de Godoy,
XC388143,Dryocopus lineatus,drumming,A,-22.4508,,Bobby Wilcox,
XC388141,Dryocopus lineatus,drumming,A,-22.4508,,Bobby Wilcox,"Megarynchus pitangua, Myiozetetes similis"
XC344481,Dryocopus lineatus,drumming,A,-22.9282,,Rodrigo Dela Rosa,"Pionus maximiliani, Chiroxiphia caudata, Habia rubica, Basileuterus culicivorus, Dryocopus lineatus, Cyclarhis gujanensis, Tolmomyias sulphurescens"
XC342878,Dryocopus lineatus,drumming,A,-20.0834,,Jeremy Minns,"Amazona aestiva, Anodorhynchus hyacinthinus"
XC288382,Dryocopus lineatus,drumming,A,-26.9192,,Marcelo Villegas,"Patagioenas picazuro, Crypturellus obsoletus"
XC253145,Dryocopus lineatus,drumming,A,-22.4508,,Eric DeFonso,"Patagioenas picazuro, Guira guira, Pitangus sulphuratus"
XC242671,Dryocopus lineatus,song,A,-25.691,,André J. Pieri,
XC234588,Dryocopus lineatus,call,A,-22.4001,,Jeremy Minns,
XC186265,Dryocopus lineatus,"call, song",A,-23.43,,Fernando Igor de Godoy,
XC174648,Dryocopus lineatus,song,A,-27.7818,,Douglas Meyer,
XC115671,Dryocopus lineatus,call,A,-21.765,,Noé Eiterer,Campephilus robustus
XC1139675,Dryocopus lineatus,song,B,-22.4406,,Dante Buzzetti,
XC1139674,Dryocopus lineatus,call,B,-21.1009,,Dante Buzzetti,
XC1136417,Dryocopus lineatus,song,B,-23.6392,,Fabrício Grigolin,
XC1106911,Dryocopus lineatus,"call, subsong",B,-23.5872,,Dante Buzzetti,
XC1096819,Dryocopus lineatus,call,B,-24.0338,,Dante Buzzetti,
XC1096764,Dryocopus lineatus,call,B,-24.1859,,Dante Buzzetti,
XC1049812,Dryocopus lineatus,song,B,-22.0945,,Luiz Fernando de Andrade Figueiredo,Basileuterus culicivorus
XC1008341,Dryocopus lineatus,song,B,-20.8413,,Fabrício Grigolin,
XC812907,Dryocopus lineatus,drumming,B,-24.1859,,Dante Buzzetti,
XC686421,Dryocopus lineatus,call,B,-23.3607,,Dante Buzzetti,
XC686420,Dryocopus lineatus,begging call,B,-23.3607,,Dante Buzzetti,
XC667821,Dryocopus lineatus,call,B,-22.435,,Ricardo José Mitidieri,"Hemitriccus diops, Lochmias nematura"
XC513622,Dryocopus lineatus,song,B,-22.4069,,Arthur Gomes,
XC428353,Dryocopus lineatus,drumming,B,-22.8842,,Victor Antonelli,
XC423606,Dryocopus lineatus,drumming,B,-22.8813,,Marcelo Jordani Feliti,
XC361622,Dryocopus lineatus,song,B,-27.0087,,Roberto Buss Stringari,
XC299175,Dryocopus lineatus,"drumming, song",B,-20.7882,,Fernando Igor de Godoy,
XC199145,Dryocopus lineatus,drumming,B,-23.3254,,Gabriel Rosa,
XC186266,Dryocopus lineatus,song,B,-21.854,,Fernando Igor de Godoy,
XC85090,Dryocopus lineatus,drumming,B,-23.5684,,Jeremy Minns,"Hypoedaleus guttatus, Tachyphonus coronatus"
XC85089,Dryocopus lineatus,drumming,B,-20.0834,,Jeremy Minns,Cyanocorax cyanomelas
XC85088,Dryocopus lineatus,drumming,B,-23.5684,,Jeremy Minns,"Pachyramphus marginatus, Dysithamnus stictothorax, Drymophila ferruginea"
XC85087,Dryocopus lineatus,song,B,-23.4727,,Jeremy Minns,"Saltator similis, Drymophila ferruginea"
XC421180,Dryocopus lineatus,call,C,-22.8842,,Victor Antonelli,
XC421177,Dryocopus lineatus,song,C,-22.8842,,Victor Antonelli,
XC291186,Dryocopus lineatus,song,C,-22.4001,,Jeremy Minns,"Drymophila rubricollis, Micrastur ruficollis"
XC114529,Dryocopus lineatus,song,C,-20.79,,Noé Eiterer,
XC1053011,Leptasthenura setaria,song,A,-29.454,,JAYRSON ARAUJO DE OLIVEIRA,"Legatus leucophaius, Patagioenas picazuro, Zonotrichia capensis"
XC825936,Leptasthenura setaria,song,A,-29.3233,,Heraldo V. Norambuena,
XC809100,Leptasthenura setaria,song,A,-24.1029,,Luiz C.  Silva,
XC474057,Leptasthenura setaria,song,A,-22.7968,,Ricardo Gagliardi,
XC333061,Leptasthenura setaria,song,A,-26.7166,,Douglas Meyer,
XC332923,Leptasthenura setaria,song,A,-22.3667,,Jerome Fischer,
XC234861,Leptasthenura setaria,song,A,-22.3572,,Kassius Santos,
XC1045626,Leptasthenura setaria,"duet, song",B,-22.7147,,Dante Buzzetti,
XC1036710,Leptasthenura setaria,song,B,-25.428,,Fabrício Grigolin,Pitangus sulphuratus
XC996097,Leptasthenura setaria,call,B,-22.7291,,Dante Buzzetti,
XC995025,Leptasthenura setaria,song,B,-25.428,,Fabrício Grigolin,
XC835394,Leptasthenura setaria,song,B,-22.2617,,Francisco contreras,
XC835393,Leptasthenura setaria,song,B,-22.2617,,Francisco contreras,
XC809101,Leptasthenura setaria,call,B,-24.1029,,Luiz C.  Silva,
XC573901,Leptasthenura setaria,song,B,-24.1029,,Luiz C.  Silva,
XC556391,Leptasthenura setaria,canto,B,-27.952574,,Caio Brito,Amazona pretrei
XC520479,Leptasthenura setaria,call,B,-23.8533,,Marcos Melo,
XC488915,Leptasthenura setaria,"alarm call, song",B,-27.1459,,Miguel Angelo Biz,
XC474213,Leptasthenura setaria,song,B,-22.7968,,Ricardo Gagliardi,
XC427535,Leptasthenura setaria,canto,B,-24.260121,,Caio Brito,
XC427534,Leptasthenura setaria,canto,B,-24.260121,,Caio Brito,
XC419170,Leptasthenura setaria,song,B,-24.2783,,Fernando Igor de Godoy,
XC299683,Leptasthenura setaria,song,B,-24.2783,,Fernando Igor de Godoy,
XC295590,Leptasthenura setaria,song,B,-22.3667,,Jerome Fischer,
XC210831,Leptasthenura setaria,song,B,-22.8532,,Fernando Igor de Godoy,
XC210830,Leptasthenura setaria,song,B,-22.8532,,Fernando Igor de Godoy,
XC186491,Leptasthenura setaria,song,B,-28.3198,,João Gava,
XC176915,Leptasthenura setaria,song,B,-26.7691,,Douglas Meyer,
XC166267,Leptasthenura setaria,song,B,-26.4895,,Antonio de Almeida Correia Junior,
XC150905,Leptasthenura setaria,song,B,-26.3247,,Paulo Affonso Fonseca Pires Neto,
XC80819,Leptasthenura setaria,call,B,-22.7167,,Jeremy Minns,Pardirallus nigricans
XC17606,Leptasthenura setaria,call,B,-22.38,,Nick Athanas,
XC1082044,Leptasthenura setaria,song,C,-22.0917,,Ricardo José Mitidieri,
XC725030,Leptasthenura setaria,"call, song",C,-27.9514,,JAYRSON ARAUJO DE OLIVEIRA,
XC725028,Leptasthenura setaria,call,C,-27.9514,,JAYRSON ARAUJO DE OLIVEIRA,Cacicus chrysopterus
XC724681,Leptasthenura setaria,"call, song",C,-27.9514,,GABRIEL LEITE,
XC672173,Leptasthenura setaria,song,C,-26.1955,,GABRIEL LEITE,
XC438786,Leptasthenura setaria,song,C,-22.368,,Ross Gallardy,
XC431024,Leptasthenura setaria,"call, song",C,-29.1667,,Guilherme de Melo Becher,
XC429124,Leptasthenura setaria,song,C,-26.571,,Ricardo José Mitidieri,
XC415324,Leptasthenura setaria,song,C,-29.3226,,JAYRSON ARAUJO DE OLIVEIRA,Microspingus cabanisi
XC415323,Leptasthenura setaria,song,C,-29.4244,,JAYRSON ARAUJO DE OLIVEIRA,
XC119355,Leptasthenura setaria,song,C,-22.7876,,GABRIEL LEITE,Dysithamnus mentalis
XC52220,Leptasthenura setaria,song,C,-29.447778,,Bernabe Lopez-Lanus,
XC1003280,Asthenes moreirae,song,A,-22.3644,,Fabrício Grigolin,
XC689077,Asthenes moreirae,song,A,-22.3731,,Dante Buzzetti,
XC677799,Asthenes moreirae,song,A,-22.372,,JAYRSON ARAUJO DE OLIVEIRA,Stephanoxis lalandi
XC609864,Asthenes moreirae,song,A,-20.4556,,Odirlei Vieira da Fonseca,
XC609559,Asthenes moreirae,song,A,-20.4556,,Odirlei Vieira da Fonseca,
XC473796,Asthenes moreirae,song,A,-22.3459,,Odirlei Vieira da Fonseca,
XC427098,Asthenes moreirae,canto,A,-20.45807,,Caio Brito,Scytalopus speluncae
XC351847,Asthenes moreirae,song,A,-20.4556,,Odirlei Vieira da Fonseca,
XC336202,Asthenes moreirae,song,A,-20.4458,,Caio Brito,
XC317281,Asthenes moreirae,call,A,-20.4556,,Odirlei Vieira da Fonseca,Asthenes moreirae
XC284355,Asthenes moreirae,song,A,-22.3667,,Jerome Fischer,
XC236464,Asthenes moreirae,,A,-22.448,,Odirlei Vieira da Fonseca,
XC236280,Asthenes moreirae,alarm call,A,-20.4556,,Odirlei Vieira da Fonseca,Haplospiza unicolor
XC168300,Asthenes moreirae,song,A,-22.3834,,Antonio Silveira,
XC145606,Asthenes moreirae,song,A,-20.41,,Odirlei Vieira da Fonseca,
XC145603,Asthenes moreirae,song,A,-22.448,,Odirlei Vieira da Fonseca,
XC145602,Asthenes moreirae,song,A,-22.3644,,Odirlei Vieira da Fonseca,
XC145601,Asthenes moreirae,song,A,-22.3644,,Odirlei Vieira da Fonseca,
XC145576,Asthenes moreirae,song,A,-22.3731,,Odirlei Vieira da Fonseca,
XC144729,Asthenes moreirae,song,A,-22.3667,,Antonio Silveira,
XC80832,Asthenes moreirae,call,A,-22.3667,,Jeremy Minns,Stephanoxis lalandi
XC80831,Asthenes moreirae,song,A,-22.4667,,Jeremy Minns,
XC80829,Asthenes moreirae,song,A,-22.3667,,Jeremy Minns,
XC58453,Asthenes moreirae,song,A,-22.3731,,Bernabe Lopez-Lanus,
XC58452,Asthenes moreirae,song,A,-22.3731,,Bernabe Lopez-Lanus,
XC1003278,Asthenes moreirae,song,B,-22.3644,,Fabrício Grigolin,
XC1000955,Asthenes moreirae,call,B,-22.3731,,Dante Buzzetti,
XC689078,Asthenes moreirae,call,B,-22.3731,,Dante Buzzetti,
XC689076,Asthenes moreirae,"call, song, aggressive call",B,-22.3731,,Dante Buzzetti,
XC671160,Asthenes moreirae,song,B,-22.3459,,Ricardo José Mitidieri,
XC351025,Asthenes moreirae,song,B,-22.3667,,Jeremy Minns,
XC336203,Asthenes moreirae,alarm call,B,-20.4458,,Caio Brito,
XC336201,Asthenes moreirae,song,B,-20.4458,,Caio Brito,
XC279560,Asthenes moreirae,song,B,-22.3667,,Jeremy Minns,
XC194663,Asthenes moreirae,call,B,-22.4902,,Diego Caiafa,
XC192974,Asthenes moreirae,song,B,-22.4902,,Diego Caiafa,
XC145579,Asthenes moreirae,song,B,-20.4197,,Odirlei Vieira da Fonseca,
XC118617,Asthenes moreirae,song,B,-22.3692,,GABRIEL LEITE,
XC80830,Asthenes moreirae,call,B,-22.4667,,Jeremy Minns,
XC336204,Asthenes moreirae,call,C,-20.4458,,Caio Brito,
XC249241,Asthenes moreirae,song,C,-22.3459,,Eric DeFonso,
XC58454,Asthenes moreirae,song,C,-22.3731,,Bernabe Lopez-Lanus,
XC8702,Asthenes moreirae,song,C,-22.3501,,Nick Athanas,
XC391234,Phylloscartes oustaleti,call,A,-24.2759,,Jerome Fischer,"Basileuterus culicivorus, Pyriglena leucoptera, Eleoscytalopus indigoticus, Crypturellus obsoletus"
XC332862,Phylloscartes oustaleti,"call, song",A,-24.2834,,Jeremy Minns,"Carpornis cucullata, Attila phoenicurus, Ramphotrigon megacephalum, Dysithamnus stictothorax, Anabazenops fuscus, Tolmomyias sulphurescens, Chamaeza meruloides"
XC283234,Phylloscartes oustaleti,"call, song, various different calls",A,-23.6334,,Jeremy Minns,Phaethornis eurynome
XC283232,Phylloscartes oustaleti,call,A,-23.6334,,Jeremy Minns,"Anabazenops fuscus, Cichlocolaptes leucophrus"
XC142031,Phylloscartes oustaleti,"call, song",A,-23.5797,,Rodrigo Dela Rosa ,
XC1139741,Phylloscartes oustaleti,call,B,-24.403,,Dante Buzzetti,
XC1139740,Phylloscartes oustaleti,"call, subsong",B,-24.403,,Dante Buzzetti,
XC1089903,Phylloscartes oustaleti,call,B,-27.2292,,Miguel Angelo Biz,
XC1056497,Phylloscartes oustaleti,call,B,-23.0624,,Dante Buzzetti,
XC1003115,Phylloscartes oustaleti,"call, subsong",B,-23.2502,,Dante Buzzetti,
XC1003105,Phylloscartes oustaleti,call,B,-23.2502,,Dante Buzzetti,
XC726904,Phylloscartes oustaleti,"call, song",B,-23.028,,Dante Buzzetti,
XC645969,Phylloscartes oustaleti,song,B,-23.9487,,Felipe Arantes,
XC619047,Phylloscartes oustaleti,song,B,-24.0209,,Lia Nahomi Kajiki,
XC606733,Phylloscartes oustaleti,call,B,-20.618,,GABRIEL LEITE,
XC573729,Phylloscartes oustaleti,"call, song, chasing call",B,-24.0355,,Dante Buzzetti,
XC334823,Phylloscartes oustaleti,call,B,-24.0171,,Jerome Fischer,"Camptostoma obsoletum, Herpsilochmus rufimarginatus, Hypoedaleus guttatus"
XC286549,Phylloscartes oustaleti,"call, song",B,-23.3248,,Jeremy Minns,"Carpornis cucullata, Chiroxiphia caudata, Dysithamnus mentalis, Vireo chivi, Turdus albicollis"
XC286513,Phylloscartes oustaleti,"call, song",B,-23.6334,,Jeremy Minns,Turdus flavipes
XC283236,Phylloscartes oustaleti,call,B,-24.2667,,Jeremy Minns,"Carpornis cucullata, Ilicura militaris, Basileuterus culicivorus, Myiornis auricularis"
XC283235,Phylloscartes oustaleti,"call, two different call types",B,-24.0171,,Jeremy Minns,Attila phoenicurus
XC283233,Phylloscartes oustaleti,call,B,-23.6334,,Jeremy Minns,Sittasomus griseicapillus
XC211702,Phylloscartes oustaleti,call,B,-23.9832,,Fernando Igor de Godoy,
XC211701,Phylloscartes oustaleti,"call, song",B,-23.9832,,Fernando Igor de Godoy,
XC129093,Phylloscartes oustaleti,song,B,-27.3505,,Douglas Meyer,
XC81745,Phylloscartes oustaleti,call,B,-24.2667,,Jeremy Minns,Carpornis cucullata
XC81666,Phylloscartes oustaleti,"call, song",B,-24.2667,,Jeremy Minns,"Sporophila falcirostris, Cacicus chrysopterus"
XC81665,Phylloscartes oustaleti,"call, song",B,-23.3248,,Jeremy Minns,"Basileuterus culicivorus, Patagioenas plumbea, Vireo chivi, Myiarchus swainsoni"
XC81664,Phylloscartes oustaleti,"call, song",B,-23.6334,,Jeremy Minns,"Hylophilus poicilotis, Basileuterus culicivorus, Pyriglena leucoptera"
XC81663,Phylloscartes oustaleti,"call, song",B,-23.6334,,Jeremy Minns,"Dysithamnus mentalis, Myrmoderus squamosus"
XC988643,Phylloscartes oustaleti,call,C,-23.6156,,Augusto Matheus dos Santos,Terenura maculata
XC855198,Phylloscartes oustaleti,,C,-24.0162,,Michael Hurben,
XC661667,Phylloscartes oustaleti,call,C,-22.3682,,Ricardo Gagliardi,
XC521910,Phylloscartes oustaleti,call,C,-26.1925,,Guilherme Willrich,
XC435601,Phylloscartes oustaleti,song,C,-24.0037,,JAYRSON ARAUJO DE OLIVEIRA,Carpornis cucullata
XC419639,Phylloscartes oustaleti,call,C,-24.0557,,Fernando Igor de Godoy,
XC332357,Phylloscartes oustaleti,call,C,-22.4179,,Jerome Fischer,Rhytipterna simplex
XC320290,Phylloscartes oustaleti,"call, song",C,-23.3248,,Jeremy Minns,"Chiroxiphia caudata, Vireo chivi"
